지점,일시,평균기온(°C),최저기온(°C),최고기온(°C)
112,2018-05-18,15.6,12.9,18.2
112,2018-05-19,17.9,10.4,23.6
112,2018-05-20,18,14.2,22.1
112,2018-05-21,17.3,13.1,22.2
112,2018-05-22,17.6,15.1,22.2
112,2018-05-23,15.8,12.7,20.3
112,2018-05-24,16.6,12.3,20.6
112,2018-05-25,18.4,14.3,23.1
112,2018-05-26,19.8,14.5,25.6
112,2018-05-27,18.1,15,21.8
112,2018-05-28,20,15.3,25.7
112,2018-05-29,19.6,17.7,23.8
112,2018-05-30,18,14.9,21.1
112,2018-05-31,19.2,14.6,24.9
112,2018-06-01,20.9,15.9,27.4
112,2018-06-02,20.7,16,27.3
112,2018-06-03,21.9,16.3,28.1
112,2018-06-04,20.4,17.7,24.4
112,2018-06-05,22.2,18.2,26.9
112,2018-06-06,19.7,17.3,23.6
112,2018-06-07,19.3,17.1,22.8
112,2018-06-08,20.4,17.7,24.4
112,2018-06-09,21.9,17.1,28.1
112,2018-06-10,20.3,17.5,23.5
112,2018-06-11,19.2,17.6,22.2
112,2018-06-12,19.9,16.6,23.7
112,2018-06-13,20.7,17.8,24.9
112,2018-06-14,20.5,17.9,22.5
112,2018-06-15,21.3,17.4,25.5
112,2018-06-16,21.4,17,26.1
112,2018-06-17,20.4,17.6,24.1
112,2018-06-18,22.3,18.8,27
112,2018-06-19,20.2,17.9,24.1
112,2018-06-20,20.5,18.3,24.4
112,2018-06-21,20.9,18.9,24.5
112,2018-06-22,23.1,17.9,28.3
112,2018-06-23,22.2,19.9,25.4
112,2018-06-24,22,18.5,27
112,2018-06-25,24.7,20.3,29
112,2018-06-26,21.3,19.4,24
112,2018-06-27,20.5,18.5,23
112,2018-06-28,22.3,20,25.1
112,2018-06-29,22.3,20,26
112,2018-06-30,24,19.5,28.5
112,2018-07-01,21.9,21.1,23.8
112,2018-07-02,22.7,20.3,25.4
112,2018-07-03,26.7,22.9,30.9
112,2018-07-04,24.9,21.9,28.7
112,2018-07-05,25.3,21.9,28.6
112,2018-07-06,24.4,22.4,27.4
112,2018-07-07,23.9,19.4,28.7
112,2018-07-08,23.4,18.9,27.3
112,2018-07-09,21.3,20.3,23.6
112,2018-07-10,24.1,20.5,26.7
