지점,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),날씨,전운량(10분위)
112,2016.12.12 23:00,4.7,,3.1,70,,,
112,2016.12.13 0:00,3.8,,3.4,55,,맑음,0
112,2016.12.13 1:00,3.7,,2.9,53,,,
112,2016.12.13 2:00,3.3,,1.9,54,,,
112,2016.12.13 3:00,2.9,,2.6,56,,맑음,0
112,2016.12.13 4:00,3,,1,55,,구름많음,8
112,2016.12.13 5:00,3.4,,0.4,56,,흐림,9
112,2016.12.13 6:00,4.1,,1.3,55,,흐림,9
112,2016.12.13 7:00,4.1,,1.9,58,,흐림,9
112,2016.12.13 8:00,3.7,,2.7,62,,흐림,10
112,2016.12.13 9:00,3.9,,1.7,66,,흐림,10
112,2016.12.13 10:00,3.9,,3.6,74,,연무,9
112,2016.12.13 11:00,4.5,,4.9,70,,연무,2
112,2016.12.13 12:00,5.7,,4,62,,연무,1
112,2016.12.13 13:00,6,,4,62,,연무,4
112,2016.12.13 14:00,6.3,,3.5,65,,연무,6
112,2016.12.13 15:00,6.6,,3.2,65,,연무,7
112,2016.12.13 16:00,4.7,,6,66,,구름많음,8
112,2016.12.13 17:00,4.2,,5.3,61,,구름많음,8
112,2016.12.13 18:00,3.8,,4.3,56,,흐림,9
112,2016.12.13 19:00,2.9,,5.1,53,,,
112,2016.12.13 20:00,1.6,,5.6,54,,,
112,2016.12.13 21:00,0.9,,5.9,58,,구름조금,4
112,2016.12.13 22:00,0.3,,4.9,62,,,
112,2016.12.13 23:00,-0.1,,4.7,64,,,
112,2016.12.14 0:00,-0.1,,4.4,64,,맑음,0
112,2016.12.14 1:00,-0.4,,4.5,59,,,
112,2016.12.14 2:00,-0.8,,4.6,58,,,
112,2016.12.14 3:00,-1.1,,4.3,58,,맑음,0
112,2016.12.14 4:00,-1.4,,5.2,55,,구름많음,6
112,2016.12.14 5:00,-1.5,,6,57,,맑음,0
112,2016.12.14 6:00,-2,,4.4,60,,맑음,0
112,2016.12.14 7:00,-2.3,,3.7,61,,구름조금,5
112,2016.12.14 8:00,-1.7,,3.4,59,,흐림,9
112,2016.12.14 9:00,-1.3,,3.7,59,,구름많음,8
112,2016.12.14 10:00,-1.3,,4.1,57,,흐림,9
112,2016.12.14 11:00,-1.1,,4.2,58,,흐림,9
112,2016.12.14 12:00,-0.8,,4.1,58,,흐림,9
112,2016.12.14 13:00,-0.4,,3.4,59,,흐림,9
112,2016.12.14 14:00,-0.2,,3.8,61,,구름많음,7
112,2016.12.14 15:00,0.3,,4,62,,흐림,9
112,2016.12.14 16:00,0.4,,3.1,59,,구름많음,7
112,2016.12.14 17:00,0.1,,3.7,61,,구름많음,6
112,2016.12.14 18:00,-0.1,,4.7,56,,구름많음,7
112,2016.12.14 19:00,-0.3,,3,54,,,
112,2016.12.14 20:00,-0.8,,4.8,55,,,
112,2016.12.14 21:00,-1.3,,4.4,55,,구름많음,8
112,2016.12.14 22:00,-2.1,,4.6,54,,,
112,2016.12.14 23:00,-2.4,,5,50,,,
112,2016.12.15 0:00,-3,,3,54,,맑음,0
112,2016.12.15 1:00,-3.1,,3.8,52,,,
112,2016.12.15 2:00,-3.4,,5.2,48,,,
112,2016.12.15 3:00,-3.8,,4.6,45,,맑음,0
112,2016.12.15 4:00,-4.3,,2.2,47,,맑음,0
112,2016.12.15 5:00,-5,,2.8,53,,맑음,0
112,2016.12.15 6:00,-5.6,,3.6,57,,맑음,0
112,2016.12.15 7:00,-6.1,,3.6,56,,맑음,0
112,2016.12.15 8:00,-6.1,,3.4,59,,맑음,0
112,2016.12.15 9:00,-5.2,,2.7,59,,맑음,0
112,2016.12.15 10:00,-4.4,,3.7,55,,맑음,0
112,2016.12.15 11:00,-3.7,,4.1,43,,맑음,0
112,2016.12.15 12:00,-3.1,,5.4,39,,맑음,0
112,2016.12.15 13:00,-2.7,,5.9,38,,맑음,0
112,2016.12.15 14:00,-2.5,,5.7,37,,맑음,0
112,2016.12.15 15:00,-2,,5.3,35,,맑음,0
112,2016.12.15 16:00,-2.1,,6.1,35,,맑음,0
112,2016.12.15 17:00,-2.5,,5.6,35,,맑음,0
112,2016.12.15 18:00,-2.9,,5.2,37,,맑음,0
112,2016.12.15 19:00,-3.3,,5.3,40,,,
112,2016.12.15 20:00,-4,,6.7,40,,,
112,2016.12.15 21:00,-4.7,,5.6,40,,맑음,0
112,2016.12.15 22:00,-5.1,,5.7,38,,,
112,2016.12.15 23:00,-5.3,,5.2,42,,,
112,2016.12.16 0:00,-5.9,,4.4,43,,맑음,0
112,2016.12.16 1:00,-6,,5.3,41,,,
112,2016.12.16 2:00,-6.3,,4.1,44,,,
112,2016.12.16 3:00,-6.6,,4.1,45,,맑음,0
112,2016.12.16 4:00,-7,,3.2,45,,맑음,0
112,2016.12.16 5:00,-7.1,,3.9,47,,맑음,0
112,2016.12.16 6:00,-7.6,,2.4,48,,맑음,0
112,2016.12.16 7:00,-7.3,,3.2,48,,맑음,0
112,2016.12.16 8:00,-7.5,,2.9,43,,맑음,0
112,2016.12.16 9:00,-6.3,,1.5,40,,맑음,0
112,2016.12.16 10:00,-5.1,,2.9,45,,맑음,0
112,2016.12.16 11:00,-4.2,,2.6,46,,맑음,0
112,2016.12.16 12:00,-2.2,,2,44,,맑음,0
112,2016.12.16 13:00,-1.7,,2.5,49,,맑음,0
112,2016.12.16 14:00,-1.3,,3.8,35,,맑음,0
112,2016.12.16 15:00,-1,,2.8,37,,맑음,0
112,2016.12.16 16:00,-0.5,,2.2,40,,맑음,0
112,2016.12.16 17:00,-1,,1.8,46,,맑음,2
112,2016.12.16 18:00,-1.3,,2.1,54,,맑음,0
112,2016.12.16 19:00,-1.5,,1.1,58,,,
112,2016.12.16 20:00,-1.4,,3.1,57,,,
112,2016.12.16 21:00,-1.4,,2.9,56,,구름많음,8
112,2016.12.16 22:00,-1.2,,2.5,58,,,
112,2016.12.16 23:00,-0.9,,3.4,62,,,
112,2016.12.17 0:00,-0.4,,4.2,63,,흐림,9
112,2016.12.17 1:00,-0.1,,2.7,63,,,
112,2016.12.17 2:00,0.2,,2.6,65,,약한눈단속,9
112,2016.12.17 3:00,0.3,0,2.9,67,,눈 끝남,5
112,2016.12.17 4:00,0.2,,2.7,69,,구름조금,5
112,2016.12.17 5:00,0.2,,2.7,69,,구름많음,6
112,2016.12.17 6:00,0.3,,3.4,70,,구름많음,8
112,2016.12.17 7:00,0.5,,3.7,71,,구름많음,6
112,2016.12.17 8:00,0.6,,3.7,72,,구름많음,7
112,2016.12.17 9:00,2.4,,3.4,68,,구름많음,6
112,2016.12.17 10:00,3.9,,3.4,61,,맑음,2
112,2016.12.17 11:00,5.9,,3.4,58,,구름조금,5
112,2016.12.17 12:00,7.3,,2.4,56,,구름조금,5
112,2016.12.17 13:00,8.6,,2.8,57,,구름조금,3
112,2016.12.17 14:00,9.7,,2.5,62,,연무,5
112,2016.12.17 15:00,9.2,,2.9,64,,연무,4
112,2016.12.17 16:00,8.7,,1.7,66,,연무,6
112,2016.12.17 17:00,8.1,,1.6,70,,연무,4
112,2016.12.17 18:00,7.6,,2.2,76,,연무,6
112,2016.12.17 19:00,7.9,,2.7,71,,,
112,2016.12.17 20:00,8,,2.9,73,,,
112,2016.12.17 21:00,8.2,,3.2,74,,연무,9
112,2016.12.17 22:00,8,,3.2,73,,,
112,2016.12.17 23:00,7,,2.8,77,,,
112,2016.12.18 0:00,6.8,,3.1,74,,구름많음,7
112,2016.12.18 1:00,6.2,,3.4,75,,,
112,2016.12.18 2:00,5.9,,3.8,76,,,
112,2016.12.18 3:00,5.8,,3.5,75,,구름조금,5
112,2016.12.18 4:00,5.6,,3,76,,구름많음,6
112,2016.12.18 5:00,5.7,,3.1,76,,구름많음,7
112,2016.12.18 6:00,5.7,,4.5,76,,구름많음,8
112,2016.12.18 7:00,5.3,,3.2,77,,흐림,9
112,2016.12.18 8:00,5.5,,3.7,75,,흐림,9
112,2016.12.18 9:00,5.7,,4.3,73,,흐림,9
112,2016.12.18 10:00,6.4,,3.9,70,,흐림,9
112,2016.12.18 11:00,6.6,,4.9,70,,흐림,9
112,2016.12.18 12:00,6.9,,3.5,68,,흐림,9
112,2016.12.18 13:00,7.5,,3.1,65,,흐림,9
112,2016.12.18 14:00,8,,3.9,64,,흐림,9
112,2016.12.18 15:00,8.2,,3.6,63,,흐림,9
112,2016.12.18 16:00,8.3,,3,62,,흐림,9
112,2016.12.18 17:00,7.9,,3.8,64,,흐림,9
112,2016.12.18 18:00,7.8,,4.9,63,,흐림,9
112,2016.12.18 19:00,7.6,,3.9,64,,,
112,2016.12.18 20:00,7.6,,4.7,64,,,
112,2016.12.18 21:00,7,,2.3,66,,구름많음,8
112,2016.12.18 22:00,6.9,,3.1,66,,,
112,2016.12.18 23:00,6.7,,3.7,66,,,
112,2016.12.19 0:00,6.8,,4.1,64,,흐림,9
112,2016.12.19 1:00,6.9,,3.9,63,,,
112,2016.12.19 2:00,7.1,,3.9,63,,약한비단속,10
112,2016.12.19 3:00,6.9,0.1,3.3,68,,약한비단속,10
112,2016.12.19 4:00,6.3,,3.7,80,,약한비단속,10
112,2016.12.19 5:00,6.5,,3.2,77,,비 끝남,10
112,2016.12.19 6:00,6.2,0.7,2.7,85,,약한비단속,10
112,2016.12.19 7:00,6,,2.9,82,,비 끝남,10
112,2016.12.19 8:00,6.2,,2.3,79,,박무,9
112,2016.12.19 9:00,6.6,0,2.4,75,,구름많음,7
112,2016.12.19 10:00,7.7,,2.8,70,,구름많음,8
112,2016.12.19 11:00,8.4,,1.1,68,,흐림,9
112,2016.12.19 12:00,9.9,,2.1,65,,흐림,9
112,2016.12.19 13:00,10.8,,1.8,63,,흐림,9
112,2016.12.19 14:00,11.5,,1.1,64,,흐림,9
112,2016.12.19 15:00,11.5,,0.6,67,,흐림,9
112,2016.12.19 16:00,12,,0.8,68,,연무,8
112,2016.12.19 17:00,11.1,,0.8,71,,연무,8
112,2016.12.19 18:00,10,,1.9,71,,연무,9
112,2016.12.19 19:00,9,,3.1,77,,,
112,2016.12.19 20:00,8.8,,2.5,73,,,
112,2016.12.19 21:00,8.3,,2.9,77,,연무,8
112,2016.12.19 22:00,7.6,,2.6,83,,,
112,2016.12.19 23:00,7.4,,3,81,,,
112,2016.12.20 0:00,7.2,,3.1,83,,박무,6
112,2016.12.20 1:00,6.8,,3.3,82,,,
112,2016.12.20 2:00,6.6,,1.9,84,,,
112,2016.12.20 3:00,6.2,,2.7,84,,박무,5
112,2016.12.20 4:00,6.1,,2.4,85,,박무,1
112,2016.12.20 5:00,5.5,,3.6,86,,박무,6
112,2016.12.20 6:00,6,,3.9,82,,박무,9
112,2016.12.20 7:00,5.5,,2.7,86,,박무,5
112,2016.12.20 8:00,5.4,,3.3,85,,박무,0
112,2016.12.20 9:00,6.2,,2.7,81,,박무,0
112,2016.12.20 10:00,7,,2.6,80,,박무,0
112,2016.12.20 11:00,7.9,,2.6,77,,박무,0
112,2016.12.20 12:00,8.5,,3.1,75,,박무,0
112,2016.12.20 13:00,9.1,,4.6,72,,구름조금,4
112,2016.12.20 14:00,9.6,,4,69,,구름많음,7
112,2016.12.20 15:00,9.4,,5.3,71,,구름많음,8
112,2016.12.20 16:00,9.1,,4.4,70,,구름많음,6
112,2016.12.20 17:00,8.8,,3.4,73,,구름조금,5
112,2016.12.20 18:00,8.3,,3.9,73,,구름조금,3
112,2016.12.20 19:00,7.7,,2.4,76,,,
112,2016.12.20 20:00,6.6,,2.4,84,,,
112,2016.12.20 21:00,6.5,,2.6,81,,박무,0
112,2016.12.20 22:00,6.3,,2.6,81,,,
112,2016.12.20 23:00,6.4,,1.9,80,,,
112,2016.12.21 0:00,7.2,,3.9,75,,박무,0
112,2016.12.21 1:00,7.4,,4.1,73,,,
112,2016.12.21 2:00,7.1,,2.2,77,,,
112,2016.12.21 3:00,5.8,,1.5,86,,박무,0
112,2016.12.21 4:00,6.2,,2.7,80,,박무,0
112,2016.12.21 5:00,5.7,,1.9,82,,박무,9
112,2016.12.21 6:00,6.1,,2.6,80,,박무,10
112,2016.12.21 7:00,6.1,,2.8,81,,박무,9
112,2016.12.21 8:00,6.3,,2.2,79,,박무,9
112,2016.12.21 9:00,6.9,,3.1,76,,박무,9
112,2016.12.21 10:00,8.6,,1.9,68,,연무,6
112,2016.12.21 11:00,11.3,,2.5,58,,연무,7
112,2016.12.21 12:00,12.4,,2.2,54,,흐림,9
112,2016.12.21 13:00,12.8,,2.4,52,,흐림,9
112,2016.12.21 14:00,12.7,,3.5,52,,흐림,10
112,2016.12.21 15:00,12.4,0,4.1,55,,약한비단속,10
112,2016.12.21 16:00,11,,5.8,66,,약한비계속,10
112,2016.12.21 17:00,10.2,,5.2,77,,약한비계속,10
112,2016.12.21 18:00,9.5,2.2,6.1,87,,약한비계속,10
112,2016.12.21 19:00,9.1,,5.6,90,,약한비계속,10
112,2016.12.21 20:00,8.6,,7,94,,보통비계속,10
112,2016.12.21 21:00,8.7,16.3,6.2,95,,보통비계속,10
112,2016.12.21 22:00,9.1,,4.8,96,,보통비계속,10
112,2016.12.21 23:00,10.4,,2.1,96,,약한비계속,10
112,2016.12.22 0:00,11.6,14.5,4.4,98,,보통비계속,10
112,2016.12.22 1:00,12.1,,6.1,98,,보통비계속,10
112,2016.12.22 2:00,12.9,,4.6,98,,보통비계속,10
112,2016.12.22 3:00,11.9,13.9,3.8,99,,약한비단속,10
112,2016.12.22 4:00,11,,4.7,99,,약한비단속,10
112,2016.12.22 5:00,10.1,,4.8,99,,약한비단속,10
112,2016.12.22 6:00,8.2,0.2,6.4,99,,약한비단속,10
112,2016.12.22 7:00,7.2,,5.1,99,,약한비단속,10
112,2016.12.22 8:00,6.5,,4.5,99,,약한비단속,10
112,2016.12.22 9:00,6.3,0.1,3.4,99,,약한이슬비,10
112,2016.12.22 10:00,6.1,,3.6,99,,약한이슬비,10
112,2016.12.22 11:00,6.1,,3.1,98,,약한이슬비,10
112,2016.12.22 12:00,5.8,0.4,4.8,98,,약한이슬비,10
112,2016.12.22 13:00,5.8,,6.2,96,,약한비계속,10
112,2016.12.22 14:00,5,,6.6,91,,약한비계속,10
112,2016.12.22 15:00,4.5,3.9,6.2,90,,약한비계속,10
112,2016.12.22 16:00,4,,5.2,93,,약한비계속,10
112,2016.12.22 17:00,4.2,,4.5,93,,약한비계속,10
112,2016.12.22 18:00,4,1.4,5.2,89,,비 끝남,10
112,2016.12.22 19:00,3.8,,3.5,84,,,
112,2016.12.22 20:00,3.5,,3.3,83,,,
112,2016.12.22 21:00,3.5,,4.3,79,,박무,9
112,2016.12.22 22:00,3.2,,3.9,75,,,
112,2016.12.22 23:00,2.8,,3.8,75,,,
112,2016.12.23 0:00,2.2,,5.1,77,,박무,9
112,2016.12.23 1:00,1.4,,4.9,82,,약한비단속,10
112,2016.12.23 2:00,0.7,,6.3,83,,약한눈단속,9
112,2016.12.23 3:00,0.5,0,4.9,84,,약진눈깨비,10
112,2016.12.23 4:00,-0.3,,6.6,83,,약한눈단속,9
112,2016.12.23 5:00,-0.6,,6.3,82,,약한눈단속,9
112,2016.12.23 6:00,-1.1,0,5.5,81,,약한눈단속,9
112,2016.12.23 7:00,-1.2,,6.5,79,,약한눈단속,9
112,2016.12.23 8:00,-1.4,,5.7,79,,눈 끝남,9
112,2016.12.23 9:00,-1.8,0,6.9,81,,약한눈단속,9
112,2016.12.23 10:00,-2.1,,5.9,85,0,약한눈단속,9
112,2016.12.23 11:00,-2,,6.2,78,0,눈 끝남,9
112,2016.12.23 12:00,-1.9,0.1,5.9,72,,흐림,9
112,2016.12.23 13:00,-1.9,,5.6,68,,흐림,9
112,2016.12.23 14:00,-1.9,,6.5,68,,흐림,9
112,2016.12.23 15:00,-1.9,,6.3,66,,흐림,9
112,2016.12.23 16:00,-1.9,,5.6,69,,흐림,9
112,2016.12.23 17:00,-2.1,,5.6,69,,구름많음,7
112,2016.12.23 18:00,-2.2,,4.3,70,,흐림,9
112,2016.12.23 19:00,-2.3,,4.7,67,,,
112,2016.12.23 20:00,-2.4,,4.6,67,,,
112,2016.12.23 21:00,-2.4,,4.1,66,,흐림,9
112,2016.12.23 22:00,-2.7,,3.1,67,,,
112,2016.12.23 23:00,-3,,3.6,63,,,
112,2016.12.24 0:00,-3,,3.8,65,,흐림,9
112,2016.12.24 1:00,-3.2,,4.5,64,,,
112,2016.12.24 2:00,-3.4,,3.4,64,,,
112,2016.12.24 3:00,-3.3,,2.2,67,,연무,9
112,2016.12.24 4:00,-3.2,,2.5,65,,연무,9
112,2016.12.24 5:00,-3.4,,1.4,65,,연무,9
112,2016.12.24 6:00,-3.7,,2.1,66,,연무,7
112,2016.12.24 7:00,-3.8,,1.7,67,,연무,9
112,2016.12.24 8:00,-3.8,,2,67,,연무,9
112,2016.12.24 9:00,-3.5,,2.5,66,,연무,9
112,2016.12.24 10:00,-2.9,,2.5,66,,연무,9
112,2016.12.24 11:00,-2.3,,1.5,64,,연무,5
112,2016.12.24 12:00,-1.5,,2.8,65,,연무,9
112,2016.12.24 13:00,-1.1,,2.6,64,,연무,9
112,2016.12.24 14:00,0,,1.2,61,,연무,8
112,2016.12.24 15:00,0.3,,2,62,,연무,6
112,2016.12.24 16:00,0,,1.8,62,,연무,9
112,2016.12.24 17:00,-0.3,,3.4,62,,연무,8
112,2016.12.24 18:00,-0.7,,3.8,65,,연무,3
112,2016.12.24 19:00,-1.2,,3.2,69,,,
112,2016.12.24 20:00,-1.4,,3,72,,,
112,2016.12.24 21:00,-1.5,,3.1,74,,연무,0
112,2016.12.24 22:00,-1.8,,3.4,76,,,
112,2016.12.24 23:00,-2,,2.2,78,,,
112,2016.12.25 0:00,-2.1,,3.3,79,,박무,0
112,2016.12.25 1:00,-2.4,,3,82,,,
112,2016.12.25 2:00,-2.6,,1.6,82,,,
112,2016.12.25 3:00,-2.7,,3.2,84,,박무,0
112,2016.12.25 4:00,-2.8,,1.2,81,,박무,0
112,2016.12.25 5:00,-2.7,,1.3,85,,박무,0
112,2016.12.25 6:00,-2.9,,1.8,85,,박무,0
112,2016.12.25 7:00,-3.2,,2.3,87,,박무,0
112,2016.12.25 8:00,-3.3,,2.4,88,,박무,1
112,2016.12.25 9:00,-2.9,,3.7,87,,박무,0
112,2016.12.25 10:00,-1.5,,2.1,79,,박무,2
112,2016.12.25 11:00,0.9,,1.2,69,,연무,4
112,2016.12.25 12:00,2.3,,2,63,,연무,3
112,2016.12.25 13:00,4.2,,2,58,,연무,4
112,2016.12.25 14:00,4.3,,1.8,60,,연무,8
112,2016.12.25 15:00,4.6,,1.8,60,,연무,9
112,2016.12.25 16:00,4.3,,2.4,62,,연무,9
112,2016.12.25 17:00,3.8,,2.8,65,,연무,9
112,2016.12.25 18:00,3.4,,2.9,67,,연무,9
112,2016.12.25 19:00,3.3,,3.9,65,,,
112,2016.12.25 20:00,3.4,,2.4,66,,,
112,2016.12.25 21:00,3.2,,2.9,74,,연무,9
112,2016.12.25 22:00,3,,2.7,72,,,
112,2016.12.25 23:00,2.9,,2.5,73,,,
112,2016.12.26 0:00,2.7,,2.3,73,,연무,9
112,2016.12.26 1:00,2.4,,1.9,75,,,
112,2016.12.26 2:00,2.4,,0.9,75,,,
112,2016.12.26 3:00,2.4,,1.5,77,,연무,10
112,2016.12.26 4:00,2.3,,2,78,,연무,10
112,2016.12.26 5:00,2.1,,2.4,78,,연무,10
112,2016.12.26 6:00,1.9,,3,79,,연무,10
112,2016.12.26 7:00,2,,2.1,79,,박무,10
112,2016.12.26 8:00,2,,1.4,80,,박무,10
112,2016.12.26 9:00,2.2,,2.5,79,,박무,10
112,2016.12.26 10:00,2.4,,3.3,79,,박무,10
112,2016.12.26 11:00,2.7,,1.8,78,,박무,10
112,2016.12.26 12:00,2.9,,1.9,71,,박무,10
112,2016.12.26 13:00,3.5,,2.4,65,,비 끝남,10
112,2016.12.26 14:00,3.5,,3.5,61,,약진눈깨비,10
112,2016.12.26 15:00,3.5,0,2.5,60,,약한눈단속,10
112,2016.12.26 16:00,3.6,,3.7,58,,눈 끝남,10
112,2016.12.26 17:00,3.4,,2.4,56,,구름많음,8
112,2016.12.26 18:00,3,0,1.6,62,,구름많음,8
112,2016.12.26 19:00,2.8,,4.4,67,,,
112,2016.12.26 20:00,2.8,,5.9,69,,,
112,2016.12.26 21:00,2.7,,4.9,67,,흐림,10
112,2016.12.26 22:00,2.5,,3.1,67,,,
112,2016.12.26 23:00,2,,4.1,75,,,
112,2016.12.27 0:00,1.1,0,4.4,90,,약한눈단속,8
112,2016.12.27 1:00,1.2,,3.7,85,,약한눈단속,9
112,2016.12.27 2:00,1.2,,3.8,80,,약한눈단속,10
112,2016.12.27 3:00,1.4,0,5.7,82,,눈 끝남,10
112,2016.12.27 4:00,1,,5.1,81,,박무,10
112,2016.12.27 5:00,0.9,,5.2,79,,박무,8
112,2016.12.27 6:00,0.4,,5.1,75,,구름많음,8
112,2016.12.27 7:00,-0.1,,6.2,75,,흐림,9
112,2016.12.27 8:00,-0.8,,5.2,75,,구름조금,3
112,2016.12.27 9:00,-1.1,,5.5,66,,구름조금,3
112,2016.12.27 10:00,-1.3,,5.7,54,,맑음,0
112,2016.12.27 11:00,-1.4,,7,53,,맑음,0
112,2016.12.27 12:00,-1.3,,5.6,46,,맑음,0
112,2016.12.27 13:00,-0.6,,5.5,42,,맑음,0
112,2016.12.27 14:00,-0.3,,5.5,40,,맑음,0
112,2016.12.27 15:00,-0.5,,9.3,27,,맑음,0
112,2016.12.27 16:00,-1.1,,7.9,33,,맑음,0
112,2016.12.27 17:00,-2.1,,7.4,39,,맑음,0
112,2016.12.27 18:00,-3,,6.4,43,,맑음,0
112,2016.12.27 19:00,-3.6,,7.2,43,,,
112,2016.12.27 20:00,-4.1,,7,43,,,
112,2016.12.27 21:00,-4.5,,5.3,44,,맑음,0
112,2016.12.27 22:00,-5,,5.1,46,,,
112,2016.12.27 23:00,-5.4,,4.2,45,,,
112,2016.12.28 0:00,-5.7,,4.5,49,,맑음,0
112,2016.12.28 1:00,-6.2,,4.3,50,,,
112,2016.12.28 2:00,-6.5,,2.8,51,,,
112,2016.12.28 3:00,-6.8,,3.9,53,,맑음,0
112,2016.12.28 4:00,-7,,3.2,56,,맑음,0
112,2016.12.28 5:00,-7.1,,3,57,,맑음,0
112,2016.12.28 6:00,-7.3,,2.5,58,,맑음,0
112,2016.12.28 7:00,-7.3,,2.6,59,,맑음,0
112,2016.12.28 8:00,-7.3,,2.6,57,,맑음,0
112,2016.12.28 9:00,-6.5,,2,54,,맑음,0
112,2016.12.28 10:00,-5.2,,1.8,52,,맑음,0
112,2016.12.28 11:00,-2.9,,0.8,47,,맑음,0
112,2016.12.28 12:00,-1.8,,2.6,49,,맑음,0
112,2016.12.28 13:00,-0.7,,2,47,,맑음,0
112,2016.12.28 14:00,0.2,,2.3,48,,맑음,0
112,2016.12.28 15:00,0.6,,2.5,42,,맑음,0
112,2016.12.28 16:00,0,,3.2,50,,맑음,0
112,2016.12.28 17:00,-0.9,,2.8,49,,구름조금,3
112,2016.12.28 18:00,-1.9,,3.7,57,,구름많음,6
112,2016.12.28 19:00,-1.7,,3.5,49,,,
112,2016.12.28 20:00,-1.5,,4.1,58,,,
112,2016.12.28 21:00,-2,,0.9,58,,구름많음,8
112,2016.12.28 22:00,-2,,1.9,57,,,
112,2016.12.28 23:00,-2.4,,1.4,57,,,
112,2016.12.29 0:00,-2.3,,1.6,57,,맑음,1
112,2016.12.29 1:00,-2.6,,2,59,,,
112,2016.12.29 2:00,-1.8,,1.7,61,,약한눈단속,9
112,2016.12.29 3:00,-2,0.6,0.8,92,1,보통눈계속,9
112,2016.12.29 4:00,-2.8,,3.8,92,1.6,약한눈계속,8
112,2016.12.29 5:00,-3.1,,3.3,90,1.5,눈 끝남,7
112,2016.12.29 6:00,-3.9,0.6,5.9,74,1.4,구름많음,8
112,2016.12.29 7:00,-4.8,,4.2,66,1.4,맑음,0
112,2016.12.29 8:00,-4.6,,4.8,62,1.4,맑음,0
112,2016.12.29 9:00,-4.8,,6.5,52,1,맑음,0
112,2016.12.29 10:00,-4.6,,7.4,43,1,맑음,0
112,2016.12.29 11:00,-4,,6.6,41,0.8,맑음,0
112,2016.12.29 12:00,-3.5,,6.2,39,0.6,맑음,0
112,2016.12.29 13:00,-2.9,,6,39,0.5,맑음,0
112,2016.12.29 14:00,-2.3,,5.6,35,0.4,맑음,0
112,2016.12.29 15:00,-1.8,,4.6,42,0.2,맑음,0
112,2016.12.29 16:00,-1.8,,5.2,43,0.1,맑음,0
112,2016.12.29 17:00,-2.2,,5.1,43,,맑음,0
112,2016.12.29 18:00,-2.6,,5.1,46,,맑음,0
112,2016.12.29 19:00,-2.8,,5.1,52,,,
112,2016.12.29 20:00,-3.3,,6.2,49,,,
112,2016.12.29 21:00,-3.9,,5.2,53,,맑음,0
112,2016.12.29 22:00,-4.9,,4.3,54,,,
112,2016.12.29 23:00,-5.4,,4.6,55,,,
112,2016.12.30 0:00,-5.7,,4.9,57,,맑음,0
112,2016.12.30 1:00,-6.2,,3.1,58,,,
112,2016.12.30 2:00,-6.5,,2.9,57,,,
112,2016.12.30 3:00,-6.6,,3.3,57,,맑음,0
112,2016.12.30 4:00,-6.9,,1.5,57,,맑음,0
112,2016.12.30 5:00,-6.9,,1.4,56,,맑음,0
112,2016.12.30 6:00,-7,,2.2,58,,맑음,0
112,2016.12.30 7:00,-7,,1.2,58,,맑음,0
112,2016.12.30 8:00,-6.6,,2.3,58,,구름조금,5
112,2016.12.30 9:00,-4.9,,2.2,54,,구름조금,4
112,2016.12.30 10:00,-2.7,,2.7,46,,구름조금,4
112,2016.12.30 11:00,-0.9,,2.4,38,,구름조금,4
112,2016.12.30 12:00,0.1,,1.8,42,,구름많음,8
112,2016.12.30 13:00,0.4,,0.6,47,,구름많음,8
112,2016.12.30 14:00,2.2,,1.4,45,,구름많음,8
112,2016.12.30 15:00,1.2,,1.9,53,,연무,6
112,2016.12.30 16:00,1.6,,2.1,58,,구름많음,8
112,2016.12.30 17:00,1.2,,1.5,60,,흐림,9
112,2016.12.30 18:00,0.7,,0.4,60,,구름많음,8
112,2016.12.30 19:00,0.3,,1.6,64,,,
112,2016.12.30 20:00,0.5,,2.1,66,,,
112,2016.12.30 21:00,0.3,,2.1,69,,구름많음,6
112,2016.12.30 22:00,0.1,,1.9,68,,,
112,2016.12.30 23:00,-0.3,,2.1,71,,,
112,2016.12.31 0:00,-0.3,,2.4,73,,연무,5
112,2016.12.31 1:00,-0.4,,2.6,72,,,
112,2016.12.31 2:00,-0.5,,2.8,74,,,
112,2016.12.31 3:00,-0.3,,2,75,,흐림,9
112,2016.12.31 4:00,-0.2,,1.8,77,,구름많음,8
112,2016.12.31 5:00,-0.5,,2,77,,구름많음,6
112,2016.12.31 6:00,-0.4,,2.1,76,,흐림,9
112,2016.12.31 7:00,0,,1.7,77,,흐림,9
112,2016.12.31 8:00,0,,2.2,77,,흐림,10
112,2016.12.31 9:00,0.6,,2.3,76,,구름많음,8
112,2016.12.31 10:00,1.5,,2,72,,흐림,9
112,2016.12.31 11:00,3.4,,1.7,67,,연무,9
112,2016.12.31 12:00,4.5,,1.1,67,,연무,7
112,2016.12.31 13:00,5.5,,1.7,64,,연무,9
112,2016.12.31 14:00,6,,2.4,66,,연무,6
112,2016.12.31 15:00,6.5,,2,66,,맑음,2
112,2016.12.31 16:00,6.6,,1.7,66,,맑음,2
112,2016.12.31 17:00,5.4,,1.6,74,,구름조금,4
112,2016.12.31 18:00,4.5,,1.5,77,,박무,2
112,2016.12.31 19:00,4.2,,1.9,79,,,
112,2016.12.31 20:00,3.9,,1.5,79,,,
112,2016.12.31 21:00,3.6,,2.1,82,,박무,4
